name,category,unit_of_measure,unit_cost,item_type,product_url,last_verified_at,notes,cost_code,is_favorite
Drywall screws #6 x 1-5/8 in. coarse bugle (5 lb),drywall,box,24.98,material,https://www.homedepot.com/p/Grip-Rite-6-x-1-5-8-in-2-Phillips-Bugle-Head-Coarse-Thread-Drywall-Screws-5-lb-Box-158CDWS5/100182191,2026-09-23,5 lb box.,,false
Drywall screws #6 x 1-5/8 in. coarse (1 lb),drywall,box,5.97,material,https://www.homedepot.com/p/Grip-Rite-6-x-1-5-8-in-2-Phillips-Bugle-Head-Coarse-Thread-Drywall-Screw-1-lb-Box-158CDWS1/100112584,2026-09-23,1 lb box.,,false
Drywall screws #6 x 1-5/8 in. coarse (25 lb bucket),drywall,box,49.98,material,https://www.homedepot.com/p/Grip-Rite-6-x-1-5-8-in-2-Phillips-Bugle-Head-Coarse-Thread-Drywall-Screws-25-lb-Bucket-158CDW25BK/100394341,2026-09-23,25 lb bucket. $33.32 at 3+.,,false
Drywall screws #6 x 1-1/4 in. coarse (1 lb),drywall,box,5.97,material,https://www.homedepot.com/p/Grip-Rite-6-x-1-1-4-in-2-Phillips-Bugle-Head-Coarse-Thread-Drywall-Screws-1-lb-Box-114CDWS1/100152392,2026-09-23,1 lb box.,,false
Drywall screws #6 x 1-1/4 in. coarse (5 lb),drywall,box,24.98,material,https://www.homedepot.com/p/Grip-Rite-6-x-1-1-4-in-2-Phillips-Bugle-Head-Coarse-Thread-Drywall-Screws-5-lb-Box-114CDWS5/100120906,2026-09-23,5 lb box.,,false
Construction screws #8 x 1-1/4 in. star dual flat head,fasteners,box,10.98,material,https://www.homedepot.com/p/Grip-Rite-8-x-1-1-4-in-Star-Drive-Dual-Flat-Head-Coarse-Thread-Construction-Screws-1-lb-Box-114GCS1/204982239,2026-09-23,1 lb / approx 184 pc box.,,false
Structural timber screw Simpson SDWS .220 x 5 in.,fasteners,box,44.98,material,https://www.homedepot.com/p/Simpson-Strong-Tie-0-220-in-x-5-in-T40-6-Lobe-Washer-Head-Strong-Drive-SDWS-Timber-Screw-Exterior-Grade-50-Pack-SDWS22500DB-R50/321563395,2026-09-23,"50-pack, exterior grade.",,false
Truss screw Simpson SDWC .155 x 4-1/2 in. (truss to plate),fasteners,box,39.98,material,https://www.homedepot.com/p/Simpson-Strong-Tie-0-155-in-x-4-1-2-in-Black-E-Coat-T30-6-Lobe-Truss-Head-Strong-Drive-SDWC-Truss-Screw-50-Pack-SDWC15450-KT/305494554,2026-09-23,50-pack.,,false
Connector screw Simpson SD #9 x 1-1/2 in. (hurricane ties),fasteners,box,16.65,material,https://www.homedepot.com/p/Simpson-Strong-Tie-9-x-1-1-2-in-1-4-Hex-Drive-Strong-Drive-SD-Connector-Screw-100-Pack-SD9112R100/202071152,2026-09-23,"100-pack, approx 17 cents each. $14.99 at 10+. Simpson uplift values assume these or 8d x 1-1/2.",,false
Tapcon 3/16 in. x 1-3/4 in. hex washer head,fasteners,box,20.97,material,https://www.homedepot.com/p/Tapcon-3-16-in-x-1-3-4-in-Hex-Washer-Head-Concrete-Anchors-75-Piece-24305/100201596,2026-09-23,"75-pack, approx 28 cents each.",,false
Tapcon 3/16 in. x 3-1/4 in. star flat head,fasteners,box,20.97,material,https://www.homedepot.com/p/Tapcon-3-16-in-x-3-1-4-in-Star-Flat-Head-Concrete-Anchors-75-Piece-28307/314117761,2026-09-23,"75-pack, approx 28 cents each.",,false
"Wedge anchor Simpson Strong-Bolt 2, 1/2 in. x 3-3/4 in. zinc",fasteners,each,1.54,material,https://www.homedepot.com/p/Simpson-Strong-Tie-Strong-Bolt-1-2-in-x-3-3-4-in-Zinc-Plated-Wedge-Anchor-10-Pack-STB2-50334R10/300591985,2026-09-23,Sold 10-pack at $15.37. Priced per piece.,,false
"Lag bolt 1/2 in. x 4 in. hex, hot-dip galvanized",fasteners,each,1.36,material,https://www.homedepot.com/p/Everbilt-1-2-in-x-4-in-Hex-Galvanized-Lag-Screw-25-Pack-803970/204274403,2026-09-23,Sold 25-pack at $33.89. Priced per piece.,,false
"Lag bolt 1/2 in. x 4 in. hex, zinc plated",fasteners,each,1.28,material,https://www.homedepot.com/p/Everbilt-1-2-in-x-4-in-Hex-Zinc-Plated-Lag-Screw-25-Pack-801680/204274393,2026-09-23,Sold 25-pack at $31.93. Priced per piece.,,false
Carriage bolt 1/2 in.-13 x 6 in. galvanized,fasteners,each,3.66,material,https://www.homedepot.com/p/Everbilt-1-2-in-13-x-6-in-Galvanized-Carriage-Bolt-25-Pack-803620/204273451,2026-09-23,Sold 25-pack at $91.48. Priced per piece.,,false
Flat washer 1/2 in. galvanized,fasteners,box,11.23,material,https://www.homedepot.com/p/Everbilt-1-2-in-Galvanized-Flat-Washer-25-Pack-802294/204276406,2026-09-23,25-pack.,,false
Hurricane tie Simpson H2.5A 18ga galvanized,hardware,each,0.58,material,https://www.homedepot.com/p/Simpson-Strong-Tie-H2-5A-18-Gauge-Galvanized-Hurricane-Tie-H2-5A/203302239,2026-09-23,52 cents at 100+. Plain galvanized - inland only.,,false
Hurricane tie Simpson H2.5A ZMAX galvanized,hardware,each,0.98,material,https://www.homedepot.com/p/Simpson-Strong-Tie-H2-5A-18-Gauge-ZMAX-Galvanized-Hurricane-Tie-H2-5AZ/100275721,2026-09-23,88 cents at 100+. ZMAX/G185 for coastal exposure.,,false
Hurricane tie Simpson H2.5A stainless steel,hardware,each,5.08,material,https://www.homedepot.com/p/Simpson-Strong-Tie-H2-5A-18-Gauge-Stainless-Steel-Hurricane-Tie-H2-5ASS/203079171,2026-09-23,$4.57 at 100+. Near-saltwater exposure. 8.8x the plain galv price.,,false
Joist hanger Simpson LUS28 (2x8) galvanized,hardware,each,2.98,material,https://www.homedepot.com/p/Simpson-Strong-Tie-LUS-Galvanized-Face-Mount-Joist-Hanger-for-2x8-Nominal-Lumber-LUS28/100375286,2026-09-23,$2.68 at 50+.,,false
Joist hanger Simpson LUS28-2 (double 2x8) galvanized,hardware,each,2.98,material,https://www.homedepot.com/p/Simpson-Strong-Tie-LUS-Galvanized-Face-Mount-Joist-Hanger-for-Double-2x8-Nominal-Lumber-LUS28-2/100374848,2026-09-23,$2.68 at 25+. Same list price as single at time of check - re-confirm.,,false
Strap tie Simpson MSTA24 ZMAX 18ga,hardware,each,3.28,material,https://www.homedepot.com/p/Simpson-Strong-Tie-MSTA-24-in-18-Gauge-ZMAX-Galvanized-Medium-Strap-Tie-MSTA24Z/100375195,2026-09-23,$2.95 at 50+.,,false
Strap tie Simpson MSTA24 stainless steel,hardware,each,28.75,material,https://www.homedepot.com/p/Simpson-Strong-Tie-MSTA-24-in-18-Gauge-Stainless-Steel-Medium-Strap-Tie-MSTA24SS/326867806,2026-09-23,$25.88 at 50+. 8.8x the ZMAX price - corrosion class drives the budget.,,false
Embedded truss anchor Simpson HETA20 (truss to tie beam),hardware,each,2.98,material,https://www.homedepot.com/p/Simpson-Strong-Tie-HETA-20-in-Galvanized-Heavy-Embedded-Truss-Anchor-HETA20/100375124,2026-09-23,$2.68 at 200+. South Florida staple - one per truss on poured/CMU tie beams.,,false
"Door hinge 3-1/2 in. square radius, satin nickel",hardware,each,3.66,material,https://www.homedepot.com/p/Everbilt-3-Pack-3-1-2-in-Satin-Nickel-Square-Radius-Squeak-Free-Butt-Door-Hinge-28646/314151195,2026-09-23,Sold 3-pack at $10.97. Priced per hinge.,,false
"Entry lockset, keyed knob, satin nickel",hardware,each,20.47,material,https://www.homedepot.com/p/Defiant-Hartford-Satin-Nickel-Keyed-Entry-Door-Knob-32TGX200B/323700685,2026-09-23,Defiant Hartford. Builder grade.,,false
"Passage knob, hall/closet, satin nickel",hardware,each,17.97,material,https://www.homedepot.com/p/Defiant-Hartford-Satin-Nickel-Hall-Closet-Door-Knob-32TGX230B/323700877,2026-09-23,Defiant Hartford.,,false
"Deadbolt, single cylinder, satin nickel",hardware,each,11.95,material,https://www.homedepot.com/p/Defiant-Single-Cylinder-Satin-Nickel-Deadbolt-DLX21/202053164,2026-09-23,Defiant.,,false
"Cabinet pull 3 in. center-to-center, satin nickel",hardware,each,1.90,material,https://www.homedepot.com/p/Liberty-Ethan-3-in-76-mm-Center-to-Center-Satin-Nickel-Drawer-Pull-10-Pack-P13101L-SN-U1/202824464,2026-09-23,Sold 10-pack at $18.97. Priced per pull.,,false
"Door stop, 4 in. long spring, satin nickel",hardware,each,2.74,material,https://www.homedepot.com/p/Everbilt-4-in-Satin-Nickel-Long-Spring-Door-Stop-2-Pack-13524/202950141,2026-09-23,Sold 2-pack at $5.47. Priced per piece.,,false
"Shelf bracket 12 in. x 8 in. heavy duty, white steel",hardware,each,11.11,material,https://www.homedepot.com/p/Everbilt-12-in-x-8-in-White-Heavy-Duty-Shelf-Bracket-14327/206091428,2026-09-23,,,false
"Construction adhesive, Liquid Nails Heavy Duty, 10 oz",other,each,3.48,material,https://www.homedepot.com/p/Liquid-Nails-10-oz-Heavy-Duty-Construction-Adhesive-LN-901/202203994,2026-09-23,$2.96 at 24+.,,false
"Construction adhesive, Loctite PL Premium, 10 oz",other,each,7.48,material,https://www.homedepot.com/p/Loctite-PL-Premium-10-oz-Polyurethane-Construction-Adhesive-Tan-Cartridge-each-1390595/202020473,2026-09-23,Polyurethane.,,false
"Silicone sealant, GE Advanced Silicone 2, clear, 10.1 oz",other,each,10.98,material,https://www.homedepot.com/p/GE-Advanced-Silicone-2-Caulk-10-1-oz-Window-and-Door-Sealant-Clear-2811092/317743902,2026-09-23,Window and door.,,false
"Spray foam, Great Stuff Gaps & Cracks, 12 oz",insulation,each,4.48,material,https://www.homedepot.com/p/GREAT-STUFF-12-oz-Gaps-and-Cracks-Insulating-Spray-Foam-Sealant-227112/202893728,2026-09-23,,,false
"Spray foam, Great Stuff Big Gap Filler, 12 oz",insulation,each,5.98,material,https://www.homedepot.com/p/GREAT-STUFF-12-oz-Big-Gap-Filler-Insulating-Spray-Foam-Sealant-363103/202893739,2026-09-23,,,false
"Duct tape, Gorilla silver, 1.88 in. x 30 yd",other,each,10.91,material,https://www.homedepot.com/p/Gorilla-30-yd-Silver-Duct-Tape-105634/316372141,2026-09-23,Per roll.,,false
"Contractor bags 42 gal, Husky",other,box,29.97,material,https://www.homedepot.com/p/Husky-42-Gal-Contractor-Bags-50-Count-HK42WC050B/202973825,2026-09-23,"50-count, approx 60 cents/bag.",,false
"Tarp, blue medium duty 10 ft x 12 ft",other,each,19.28,material,https://www.homedepot.com/p/Everbilt-10-ft-x-12-ft-Blue-Tarp-HLD1012M/206184456,2026-09-23,120 sq ft.,,false
"Utility blades, heavy duty, dispenser",other,box,16.97,material,https://www.homedepot.com/p/Husky-Heavy-Duty-Utility-Blades-Dispenser-100-Pack-HKHT19057/205037418,2026-09-23,100-pack.,,false
"Marking chalk, blue, 8 oz",other,each,3.47,material,https://www.homedepot.com/p/DEWALT-8-oz-Chalk-in-Blue-DWHT47049/204465515,2026-09-23,HD lists this title as a chalk reel; page content and price indicate chalk refill. Verify at the shelf.,,false
"Mason line, nylon, 500 ft reel",other,each,14.26,material,https://www.homedepot.com/p/Everbilt-500-ft-White-Nylon-Mason-Line-Reel-814080/315846124,2026-09-23,,,false
"Mesh drywall joint tape, 1-7/8 in. x 500 ft",drywall,each,16.75,material,https://www.homedepot.com/p/Saint-Gobain-ADFORS-FibaTape-Standard-White-1-7-8-in-x-500-ft-Self-Adhesive-Mesh-Drywall-Joint-Tape-FDW8662-U/100401004,2026-09-23,Per roll. FibaTape self-adhesive.,,false
"Behr Premium Plus interior eggshell, Ultra Pure White",paint,gallon,37.98,material,https://www.homedepot.com/p/BEHR-PREMIUM-PLUS-1-gal-Ultra-Pure-White-Eggshell-Enamel-Low-Odor-Interior-Paint-Primer-205001/202761520,2026-09-23,$33.08/gal at 5+ gallons.,,false
Behr Premium Plus interior eggshell (5-gal pail),paint,gallon,33.60,material,https://www.homedepot.com/p/BEHR-PREMIUM-PLUS-5-gal-Ultra-Pure-White-Eggshell-Enamel-Low-Odor-Interior-Paint-Primer-205005/202761693,2026-09-23,Pail price $168.00. Priced per gallon.,,false
"Behr Marquee interior eggshell, Ultra Pure White",paint,gallon,56.98,material,https://www.homedepot.com/p/BEHR-MARQUEE-1-gal-Ultra-Pure-White-Eggshell-Enamel-Interior-Paint-Primer-245001/204747490,2026-09-23,,,false
"Behr Premium Plus exterior satin, Ultra Pure White",paint,gallon,49.98,material,https://www.homedepot.com/p/BEHR-PREMIUM-PLUS-1-gal-Ultra-Pure-White-Satin-Enamel-Exterior-Paint-Primer-905001/100163868,2026-09-23,$44.79/gal at 5+ gallons.,,false
Behr Premium Plus exterior satin (5-gal pail),paint,gallon,45.00,material,https://www.homedepot.com/p/BEHR-PREMIUM-PLUS-5-gal-Ultra-Pure-White-Satin-Enamel-Exterior-Paint-Primer-905005/100170068,2026-09-23,Pail price $225.00. Priced per gallon.,,false
"Behr Marquee exterior satin, Ultra Pure White",paint,gallon,69.98,material,https://www.homedepot.com/p/BEHR-MARQUEE-1-gal-Ultra-Pure-White-Satin-Enamel-Exterior-Paint-Primer-945001/203955811,2026-09-23,,,false
"Kilz 2 All Purpose primer, white",paint,gallon,22.98,material,https://www.homedepot.com/p/KILZ-KILZ-2-ALL-PURPOSE-1-gal-White-Interior-Exterior-Multi-Surface-Primer-Sealer-and-Stain-Blocker-20941/100096395,2026-09-23,Water-based.,,false
"Kilz Original oil-based primer, white",paint,gallon,33.98,material,https://www.homedepot.com/p/KILZ-Original-1-Gal-White-Oil-Based-Interior-Primer-Sealer-and-Stain-Blocker-10901/100371321,2026-09-23,Stain blocker.,,false
"Painter's caulk, acrylic latex + silicone, 10.1 oz",paint,each,4.18,material,https://www.homedepot.com/p/DAP-Alex-Plus-10-1-oz-White-Acrylic-Latex-Caulk-Plus-Silicone-18103/100097524,2026-09-23,DAP Alex Plus.,,false
Painter's tape 1.88 in. x 60 yd,paint,each,6.01,material,https://www.homedepot.com/p/3M-ScotchBlue-1-88-in-x-60-yds-Original-Multi-Use-Painter-s-Tape-6-Pack-2090-48A-CP/100120991,2026-09-23,Sold 6-pack at $36.07. Priced per roll.,,false
"Canvas drop cloth 9 ft x 12 ft, heavy duty",paint,each,39.98,material,https://www.homedepot.com/p/Everbilt-9-Ft-x-12-Ft-Heavy-Duty-Canvas-Drop-Cloth-91210OZ/203866107,2026-09-23,,,false
Roller covers 9 in. x 3/8 in. nap microfiber,paint,box,12.98,material,https://www.homedepot.com/p/9-in-x-3-8-in-Microfiber-Paint-Roller-Cover-3-Pack-HD-RS-1733/203230113,2026-09-23,3-pack.,,false
"Thinset, VersaBond gray polymer-modified, 50 lb",finishes,bag,17.98,material,https://www.homedepot.com/p/Custom-Building-Products-VersaBond-50-lb-Gray-Professional-Polymer-Modified-Thinset-Mortar-MTSG50/100162542,2026-09-23,"PRICE CONFLICT: product page $17.98, category page $12.97, both read 2026-09-23. Higher figure recorded so a bid is not built on the lower one. Confirm with the store.",,false
"Thinset, VersaBond white polymer-modified, 50 lb",finishes,bag,17.98,material,https://www.homedepot.com/p/Custom-Building-Products-VersaBond-50-lb-White-Professional-Polymer-Modified-Thinset-Mortar-MTSW50/100091767,2026-09-23,"PRICE CONFLICT: product page $17.98, category page $14.97, both read 2026-09-23. Higher figure recorded so a bid is not built on the lower one. Confirm with the store.",,false
"Sanded grout, Polyblend Plus, 25 lb (bright white)",finishes,bag,19.48,material,https://www.homedepot.com/p/Custom-Building-Products-Polyblend-Plus-381-Bright-White-25-lb-Sanded-Grout-PBPG38125/313291666,2026-09-23,,,false
"Sanded grout, Polyblend, 25 lb (quartz)",finishes,bag,13.48,material,https://www.homedepot.com/p/Custom-Building-Products-Polyblend-101-Quartz-25-lb-Sanded-Grout-PBG10125/100114599,2026-09-23,,,false
"Cement backer board, HardieBacker 1/2 in. x 3 ft x 5 ft",finishes,each,15.41,material,https://www.homedepot.com/p/James-Hardie-Hardie-Backer-1-2-in-x-3-ft-x-5-ft-Cement-Backer-Board-220023/100170507,2026-09-23,"15 sq ft/sheet, $1.03/sq ft. $13.87 at 30+.",,false
Backer board screws #9 x 1-5/8 in. star drive,finishes,box,40.47,material,https://www.homedepot.com/p/9-x-1-5-8-in-Star-Drive-Serrated-Head-Cement-Board-Screws-575-Pack-23515/314498882,2026-09-23,575-pack.,,false
Tile spacers 1/8 in. leave-in,finishes,box,2.97,material,https://www.homedepot.com/p/QEP-1-8-in-Leave-in-Hard-Style-Tile-Spacers-200-pack-10331Q-20/300435843,2026-09-23,200-pack.,,false
"Subway tile 3x6 gloss white, builder grade",finishes,sq_ft,1.20,material,https://www.homedepot.com/p/Daltile-Restore-Bright-White-3-in-x-6-in-Glossy-Ceramic-Subway-Wall-Tile-12-5-sq-ft-case-RE1536MODHD1P4/302575146,2026-09-23,Daltile Restore. 12.5 sq ft case at $15.00.,,false
"Subway tile 3x6 matte white, upgrade grade",finishes,sq_ft,3.67,material,https://www.homedepot.com/p/Daltile-Rittenhouse-Square-Matte-Arctic-White-3-in-x-6-in-Ceramic-Subway-Wall-Tile-12-5-sq-ft-case-079036MOD1P4/202629085,2026-09-23,Daltile Rittenhouse. 12.5 sq ft case at $45.88.,,false
"Luxury vinyl plank, 22 MIL click-lock waterproof",finishes,sq_ft,3.28,material,https://www.homedepot.com/p/Lifeproof-Fresh-Oak-22-MIL-x-8-7-in-W-x-48-in-L-Click-Lock-Waterproof-Luxury-Vinyl-Plank-Flooring-20-1-sqft-case-I96711LP/309083453,2026-09-23,Lifeproof. 20.1 sq ft case at $65.99.,,false
MDF baseboard 9/16 in. x 5-1/4 in. primed,finishes,linear_ft,2.46,material,https://www.homedepot.com/p/Woodgrain-Millwork-1866-9-16-in-x-5-1-4-in-x-96-in-Primed-MDF-Baseboard-Moulding-1-Piece-8-Total-Linear-Feet-10001790/203209462,2026-09-23,Sold in 8 LF pieces at $19.68.,,false
Quarter round 3/4 in. x 3/4 in. finished white,finishes,linear_ft,1.09,material,https://www.homedepot.com/p/TRIMFINITY-105-3-4-in-x-3-4-in-x-96-in-Finished-White-Quarter-Round-Moulding-1-Piece-8-Total-Linear-Feet-10001969/204188256,2026-09-23,Sold in 8 LF pieces at $8.73.,,false
Prehung hollow core interior door 30 in. x 80 in. 6-panel,finishes,each,358.00,material,https://www.homedepot.com/p/Masonite-30-in-x-80-in-6-Panel-Left-Handed-Primed-Composite-Hollow-Core-Single-Prehung-Interior-Door-4-9-16-in-Flat-Jamb-17880/202872499,2026-09-23,"Masonite, 4-9/16 in. flat jamb, primed.",,false
"Synthetic roof underlayment, 10 sq roll",roofing,each,139.00,material,https://www.homedepot.com/p/Owens-Corning-ProArmor-1001-sq-ft-Synthetic-Roof-Underlayment-Roll-PROA21/302659836,2026-09-23,"Owens Corning ProArmor, 1,001 sq ft per roll.",,false
"Roof cement, wet patch, 3.3 gal",roofing,each,65.24,material,https://www.homedepot.com/p/Henry-208-Wet-Patch-Black-Roof-Leak-Repair-Sealant-3-3-gal-HE208361/100076716,2026-09-23,Henry 208.,,false
Romex NM-B 14/2 with ground,electrical,linear_ft,0.50,material,https://www.homedepot.com/p/Southwire-250-ft-14-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28827455/100010980,2026-09-23,250 ft roll at $124.00.,,false
Romex NM-B 12/2 with ground,electrical,linear_ft,0.72,material,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828255/100048873,2026-09-23,250 ft roll at $179.00.,,false
Romex NM-B 12/3 with ground,electrical,linear_ft,1.49,material,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,2026-09-23,"250 ft roll at $373.37. RE-CHECK: more than 2x the 12/2 rate, wider than conductor count explains.",,false
"Single-pole toggle switch 15A, white",electrical,each,0.83,material,https://www.homedepot.com/p/Leviton-15-Amp-Single-Pole-Switch-White-10-Pack-1451-2WM-M24-01451-2WM/100075329,2026-09-23,Sold 10-pack at $8.28. Priced per device.,,false
"3-way switch, Decora 15A, white",electrical,each,3.80,material,https://www.homedepot.com/p/Leviton-Decora-15-Amp-3-Way-Specialty-Light-Switch-White-10-Pack-M52-05603-0WM/311526990,2026-09-23,Sold 10-pack at $37.97. Priced per device.,,false
"Smart dimmer, Lutron Caseta 150W LED",electrical,each,64.95,material,https://www.homedepot.com/p/Lutron-Caseta-Smart-Dimmer-Switch-for-Wall-Ceiling-Lights-150W-LED-White-PD-6WCL-WH-R-PD-6WCL-WH-R/206828225,2026-09-23,,,false
"Duplex receptacle 15A, white",electrical,each,0.65,material,https://www.homedepot.com/p/Leviton-15-Amp-125-V-Duplex-Outlet-Receptacle-White-10-Pack-5320-WMP-M24-05320-WMP/100055784,2026-09-23,Sold 10-pack at $6.48. Priced per device.,,false
"Tamper-resistant receptacle, Decora 15A, white",electrical,each,2.46,material,https://www.homedepot.com/p/Leviton-Decora-15-Amp-125-V-Tamper-Resistant-Duplex-Outlet-Receptacle-White-10-Pack-T5325-WMP-M22-T5325-WMP/100684055,2026-09-23,Sold 10-pack at $24.58. Priced per device. TR required in dwellings.,,false
"GFCI receptacle 20A self-test slim, white",electrical,each,14.73,material,https://www.homedepot.com/p/Leviton-20-Amp-125-Volt-Duplex-Self-Test-Slim-GFCI-Outlet-White-4-Pack-GFNT2-4W-M42-GFNT2-04W/305340194,2026-09-23,4-pack at $58.92. Single unit price is $23.48 - buy in packs.,,false
"Wall plate 1-gang duplex, standard, white",electrical,each,0.55,material,https://www.homedepot.com/p/Leviton-1-Gang-White-Duplex-Outlet-Receptacle-Plastic-Standard-Wall-Plate-10-Pack-88003-WMP-M24-88003-WMP/100357040,2026-09-23,Sold 10-pack at $5.47.,,false
"Wall plate 1-gang Decora/rocker, white",electrical,each,0.76,material,https://www.homedepot.com/p/Leviton-1-Gang-White-Decora-Rocker-Plastic-Standard-Wall-Plate-10-Pack-80401-WMP-M24-80401-WMP/100032853,2026-09-23,Sold 10-pack at $7.58.,,false
Old-work box 1-gang 20 cu in PVC,electrical,each,3.98,material,https://www.homedepot.com/p/Carlon-1-Gang-20-cu-in-Blue-PVC-Old-Work-Electrical-Switch-and-Outlet-Box-B120R/202077323,2026-09-23,,,false
"Ceiling fan rated box, 4 in. round 15.3 cu in metallic",electrical,each,5.47,material,https://www.homedepot.com/p/Commercial-Electric-4-in-Round-1-1-2-in-Deep-15-3-cu-in-Metallic-Ceiling-Fan-Light-Fixture-Box-for-Old-New-Work-CMB150/205383181,2026-09-23,,,false
"Breaker, Square D Homeline 20A single-pole",electrical,each,7.51,material,https://www.homedepot.com/p/Square-D-Homeline-20-Amp-Single-Pole-Circuit-Breaker-HOM120CP-HOM120CP/100045009,2026-09-23,,,false
"Breaker, Square D Homeline 30A 2-pole",electrical,each,18.24,material,https://www.homedepot.com/p/Square-D-Homeline-30-Amp-2-Pole-Circuit-Breaker-HOM230CP-HOM230CP/202353325,2026-09-23,,,false
"Breaker, Square D Homeline 50A 2-pole",electrical,each,18.24,material,https://www.homedepot.com/p/Square-D-Homeline-50-Amp-2-Pole-Circuit-Breaker-HOM250CP-HOM250CP/202353323,2026-09-23,,,false
"Load center, Homeline 200A 20-space/40-circuit indoor MB",electrical,each,164.86,material,https://www.homedepot.com/p/Square-D-Homeline-200-Amp-20-Space-40-Circuit-Indoor-Main-Breaker-Plug-On-Neutral-Load-Center-with-Cover-HOM2040M200PC/204836342,2026-09-23,"Plug-on neutral, with cover.",,false
